site_id,project,pattern,source_file,lock_line,unlock_lines,function,mutex_var,ground_truth,technical_justification
s279,librdkafka,EMPTY_CS,rdkafka_broker.c,4914,[4915],rd_kafka_broker_thread_main,%31,FP,"Start-barrier handshake: creator thread holds broker lock during setup; child thread locks/unlocks to block until initialization completes."
s1590,linux,EMPTY_CS,mm/vmscan.c,641,[643],free_prealloced_shrinker,%1,TP,"Empty critical section in default build: unregister_memcg_shrinker inlines to NOP; no shared reads/writes under shrinker_rwsem."
s5848,linux,EMPTY_CS,drivers/block/loop.c,794,[795],loop_change_fd,%1,FP,"Temporal drain barrier: explicit lock/unlock of loop_validate_mutex flushes in-flight loop_validate_file executions before fput to prevent UAF."
s5851,linux,EMPTY_CS,drivers/block/loop.c,1343,[1344],__loop_clr_fd,%1,FP,"Temporal drain barrier: serializes loop device teardown against concurrent in-flight validations on loop_validate_mutex."
s5859,linux,EMPTY_CS,drivers/block/loop.c,110,[116],loop_global_lock_killable,%1,FP,"Lock acquisition helper error-unwind: lock at line 110 escapes to caller on success; unlock at line 116 only executes on abort when inner mutex acquisition fails."
s6008,linux,EMPTY_CS,drivers/scsi/sg.c,2568,[2592],sg_proc_seq_show_debug,%1,FP,"Shared reader lock: read_lock_irqsave protects global SCSI device registry lookup against concurrent device detaching/unregistration."
s7325,linux,EMPTY_CS,drivers/mailbox/mailbox.c,345,[350],mbox_request_channel,%1,TP,"Premature lock acquisition: con_mutex is acquired before device tree parsing (of_parse_phandle_with_args) and released on parse failure without touching mailbox state."
s7703,linux,EMPTY_CS,net/core/net_namespace.c,625,[626],net_ns_barrier,%1,FP,"Temporal drain barrier: empty lock/unlock of pernet_ops_rwsem drains all concurrent network namespace operations before module unregistration."
s675,postgres,READ_ONLY,pgstat_slru.c,207,[212],pgstat_slru_snapshot_cb,%5,FP,"Shared memory reader lock: LW_SHARED lock protects multi-field stats memcpy against concurrent backend writers to prevent torn reads."
s679,postgres,READ_ONLY,pgstat_wal.c,182,[185],pgstat_wal_snapshot_cb,%5,FP,"Shared memory reader lock: LW_SHARED lock ensures atomic snapshot of shared WAL statistics buffer against concurrent writer processes."
s15,xen,READ_ONLY,include/xen/spinlock.h,243,[1788],domain_soft_reset,%3,TP,"Single-threaded quiesced domain state: reads vcpu paused_for_shutdown flags while all vCPUs are halted and domain is frozen for soft reset."
s68,xen,READ_ONLY,include/xen/spinlock.h,243,[1779],offline_page,@heap_lock,FP,"Physical memory allocator protection: heap_lock protects Xen heap freelist mutation in reserve_heap_page when offlining succeeds."
s84,xen,READ_ONLY,common/rwlock.c,78,[85],queue_write_lock_slowpath,%3,FP,"MCS queued rwlock internal implementation: spinlock coordinates atomic cmpxchg on lock->cnts to serialize queued writers; indispensable concurrency primitive."
s93,xen,READ_ONLY,common/tasklet.c,176,[184],tasklet_kill,@tasklet_lock,FP,"Tasklet termination spin-wait: tasklet_lock provides memory ordering while polling t->is_running, which is concurrently modified on worker CPU during do_tasklet_work."
s144,xen,READ_ONLY,include/xen/spinlock.h,243,[250],cpupool_get_by_id,@cpupool_lock,FP,"Cpupool list protection: spinlock protects global cpupool_list traversal and refcount increment against concurrent cpupool_destroy UAF."
s197,xen,READ_ONLY,common/sched/rt.c,798,[805],rt_deinit_pdata,%3,FP,"RT scheduler state protection: spinlock serializes replenishment timer query and migration (move_repl_timer) against concurrent scheduling runs."
s209,xen,READ_ONLY,common/sched/rt.c,813,[820],rt_move_timers,%3,FP,"RT scheduler state protection: spinlock protects repl_timer inspection and timer migration when CPU moves out of valid cpupool mask."
s55,linux,READ_ONLY,arch/x86/kernel/bootflag.c,62,[70],sbf_read,@rtc_lock,FP,"Hardware I/O port protection: rtc_lock serializes index/data access to CMOS I/O ports 0x70/0x71 (inb/outb invisible to LLVM memory analysis)."
s56,linux,READ_ONLY,arch/x86/kernel/bootflag.c,48,[56],sbf_write,@rtc_lock,FP,"Hardware I/O port protection: rtc_lock serializes CMOS register writes via hardware port outb against concurrent RTC access."
s295,linux,READ_ONLY,kernel/sys.c,1300,[1310],__do_sys_uname,@uts_sem,FP,"Shared UTS namespace reader lock: down_read(uts_sem) prevents torn reads of system identification strings during concurrent sethostname."
s301,linux,READ_ONLY,kernel/sys.c,1354,[1365],__do_sys_sethostname,@uts_sem,FP,"Shared UTS namespace writer lock: down_write(uts_sem) exclusively serializes hostname mutations across processes in the UTS namespace."
s302,linux,READ_ONLY,kernel/sys.c,1407,[1418],__do_sys_setdomainname,@uts_sem,FP,"Shared UTS namespace writer lock: down_write(uts_sem) exclusively serializes domainname modifications across processes."
s307,linux,READ_ONLY,kernel/sys.c,1276,[1285],__do_sys_newuname,@uts_sem,FP,"Shared UTS namespace reader lock: down_read(uts_sem) ensures atomic snapshot of utsname struct against concurrent writers."
s3998,linux,READ_ONLY,drivers/video/console/vgacon.c,153,[160],write_vga,@vga_lock,FP,"Hardware register serialization: raw_spin_lock_irqsave(vga_lock) guarantees atomic 16-bit outw writes to VGA video ports against ISRs."
s69,librdkafka,REDUNDANT,rdavg.h,142,[146],rd_kafka_stats_emit_avg,%3,FP,"Per-metric synchronization: ra_lock serializes metric rollover against concurrent worker threads updating metrics via rd_avg_add without rk_lock."
s271,librdkafka,REDUNDANT,rdkafka_broker.c,3173,[3180],rd_kafka_dr_implicit_ack,%5,TP,"Redundant logging lock: rd_rkb_dbg internally re-acquires rkb_lock while enclosing produce/toppar path already guarantees broker reference and state."
s276,librdkafka,REDUNDANT,rdkafka_broker.c,5526,[5535],rd_kafka_broker_add,%5,TP,"Double lock acquisition: rd_rkb_dbg re-acquires rkb_lock at line 5526 while enclosing function rd_kafka_broker_add already holds rkb_lock since line 5484."
